order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Extraction_Date,source,extracted_at
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1714563448,MYSQL,2025-12-17T21:39:38.974270
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1714563448,MYSQL,2025-12-17T21:39:38.974270
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1714563448,MYSQL,2025-12-17T21:39:38.974270
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1714563448,MYSQL,2025-12-17T21:39:38.974270
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1714563448,MYSQL,2025-12-17T21:39:38.974270
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448,MYSQL,2025-12-17T21:39:38.974270
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,1714563448,MYSQL,2025-12-17T21:39:38.974270
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,1714563448,MYSQL,2025-12-17T21:39:38.974270
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,1714563448,MYSQL,2025-12-17T21:39:38.974270
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,1714563448,MYSQL,2025-12-17T21:39:38.974270
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,1714563448,MYSQL,2025-12-17T21:39:38.974270
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,1714563448,MYSQL,2025-12-17T21:39:38.974270
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1714563448,MYSQL,2025-12-17T21:39:38.974270
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,1714563448,MYSQL,2025-12-17T21:39:38.974270
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,1714563448,MYSQL,2025-12-17T21:39:38.974270
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,1714563448,MYSQL,2025-12-17T21:39:38.974270
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,1714563448,MYSQL,2025-12-17T21:39:38.974270
