order_id,item_id,product_id,quantity,list_price,discount,Extraction_Date,source,extracted_at
1,1,20,1,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
1,2,8,2,1800.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
1,3,10,2,1549.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
1,4,16,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
1,5,4,1,2900.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
2,1,20,1,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
2,2,16,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
3,1,3,1,1000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
3,2,20,1,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
4,1,2,2,750.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
5,1,10,2,1549.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
5,2,17,1,429.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
5,3,26,1,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
6,1,18,1,449.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
6,2,12,2,550.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
6,3,20,1,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
6,4,3,2,1000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
6,5,9,2,3000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
7,1,15,1,530.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
7,2,3,1,1000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
7,3,17,2,429.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
8,1,22,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
8,2,20,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
9,1,7,2,4000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
10,1,14,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
11,1,8,1,1800.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
11,2,22,2,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
11,3,16,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
12,1,4,2,2900.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
12,2,11,1,1681.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
13,1,13,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
13,2,17,2,429.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
13,3,20,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
13,4,16,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
14,1,6,1,470.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
15,1,12,2,550.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
15,2,8,1,1800.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
15,3,18,2,449.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
15,4,23,2,300.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
16,1,8,1,1800.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
16,2,21,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
16,3,13,2,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
16,4,14,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
17,1,8,1,1800.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
17,2,23,1,300.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
17,3,5,1,1321.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
17,4,20,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
18,1,2,2,750.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
18,2,22,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
18,3,7,1,4000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
18,4,25,2,500.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
18,5,9,2,3000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
19,1,10,1,1549.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
19,2,9,2,3000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
20,1,9,1,3000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
20,2,10,2,1549.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
21,1,14,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
21,2,17,1,429.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
21,3,10,1,1549.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
22,1,15,2,530.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
22,2,22,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
23,1,4,2,2900.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
23,2,23,2,300.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
23,3,13,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
24,1,3,2,1000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
24,2,18,2,449.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
25,1,23,2,300.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
25,2,10,2,1549.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
25,3,22,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
25,4,14,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
25,5,21,1,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
26,1,7,1,4000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
26,2,2,1,750.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
26,3,12,1,550.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
26,4,21,2,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
27,1,5,1,1321.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
27,2,19,1,449.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
27,3,26,2,600.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
27,4,8,1,1800.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
28,1,5,1,1321.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
28,2,7,2,4000.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
28,3,14,2,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
28,4,6,1,470.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
29,1,24,2,550.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
29,2,6,1,470.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
29,3,21,2,270.0,0.0,1970-01-01 00:00:01.714563465,MYSQL,2025-12-17 21:39:39.040112
