order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Extraction_Date,source,extracted_at,delivery_time_days,late_delivery_days,late_flag,status_priority
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
10,442,4,2016-01-05,2016-01-06,2016-01-06,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
11,1326,4,2016-01-05,2016-01-08,2016-01-07,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
12,91,4,2016-01-06,2016-01-08,2016-01-09,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,1,Late,Released
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,1,Late,Released
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,2,Late,Released
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,1,Late,Released
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,2,Late,Released
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,2,Late,Released
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,2,Late,Released
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,1,Late,Released
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,1,Late,Released
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,0,On Time,Released
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,2,1,Late,Released
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,2,Late,Released
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,0,On Time,Released
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,3,2,Late,Released
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,1970-01-01 00:00:01.714563448,MYSQL,2025-12-17 21:39:38.974270,1,0,On Time,Released
